"time","poolid","name","status","addr","sensortype","type","ph","ec","salt","tds","orp","cl","temp","bat","blerssi","wifissid","wifirssi","wifiip","mqttserver","mqttconnected","mqtttopic"
2026-06-20 13:42:56.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,457,251.35,228,566,0.3,30.6,2839,-73,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 13:32:09.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,460,253.0,230,567,0.3,30.5,2837,-68,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 13:20:04.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,485,266.75,242,565,0.3,30.5,2838,-69,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 13:09:43.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,480,264.0,240,562,0.3,30.4,2839,-70,pool,-19,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 12:59:42.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,483,265.65,241,560,0.3,30.2,2841,-64,pool,-18,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 12:49:41.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,472,259.6,236,564,0.3,30.2,2845,-62,pool,-16,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 12:39:40.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,478,262.9,239,561,0.3,30.1,2843,-63,pool,-18,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 12:29:40.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,371,204.05,185,562,0.3,30.0,2842,-67,pool,-20,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 12:19:17.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,436,239.8,218,561,0.3,30.0,2840,-69,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 12:18:41.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 12:08:41.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,477,262.35,238,563,0.3,29.9,2842,-69,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
2026-06-20 11:55:52.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,480,264.0,240,563,0.3,29.8,2843,-65,pool,-16,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 11:45:51.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,477,262.35,238,562,0.3,29.7,2844,-66,pool,-22,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 11:35:50.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,475,261.25,237,560,0.3,29.6,2845,-63,pool,-17,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 11:25:49.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,450,247.5,225,560,0.3,29.6,2845,-70,pool,-17,"10.32.1.62",mqtt.io10.org,true,home/H32/pool/ble-yc01
2026-06-20 11:15:49.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.7,455,250.25,227,560,0.3,29.5,2844,-70,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01
