"time","poolid","voltage","current","power","mqtttopic","raw"
2025-08-20 19:56:35.000 +0200,Pool H32,234.0,0.05,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:56:35\"",\""Epoch\"":1755712595,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.308,\""Yesterday\"":3.494,\""Today\"":3.272,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.18,\""Voltage\"":234,\""Current\"":0.050}}"""
2025-08-20 19:51:35.000 +0200,Pool H32,236.0,0.051,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:51:35\"",\""Epoch\"":1755712295,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.272,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":236,\""Current\"":0.051}}"""
2025-08-20 19:46:35.000 +0200,Pool H32,235.0,0.052,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:46:35\"",\""Epoch\"":1755711995,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.272,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":235,\""Current\"":0.052}}"""
2025-08-20 19:41:35.000 +0200,Pool H32,234.0,0.057,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:41:35\"",\""Epoch\"":1755711695,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.272,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.16,\""Voltage\"":234,\""Current\"":0.057}}"""
2025-08-20 19:36:35.000 +0200,Pool H32,231.0,0.054,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:36:35\"",\""Epoch\"":1755711395,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.271,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.16,\""Voltage\"":231,\""Current\"":0.054}}"""
2025-08-20 19:31:35.000 +0200,Pool H32,234.0,0.066,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:31:35\"",\""Epoch\"":1755711095,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.271,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":15,\""ReactivePower\"":15,\""Factor\"":0.13,\""Voltage\"":234,\""Current\"":0.066}}"""
2025-08-20 19:26:35.000 +0200,Pool H32,234.0,0.066,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:26:35\"",\""Epoch\"":1755710795,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.307,\""Yesterday\"":3.494,\""Today\"":3.271,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":15,\""ReactivePower\"":15,\""Factor\"":0.14,\""Voltage\"":234,\""Current\"":0.066}}"""
2025-08-20 19:21:35.000 +0200,Pool H32,235.0,0.057,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:21:35\"",\""Epoch\"":1755710495,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.306,\""Yesterday\"":3.494,\""Today\"":3.271,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":13,\""Factor\"":0.16,\""Voltage\"":235,\""Current\"":0.057}}"""
2025-08-20 19:16:35.000 +0200,Pool H32,232.0,0.061,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:16:35\"",\""Epoch\"":1755710195,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.306,\""Yesterday\"":3.494,\""Today\"":3.271,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":14,\""ReactivePower\"":14,\""Factor\"":0.15,\""Voltage\"":232,\""Current\"":0.061}}"""
2025-08-20 19:11:35.000 +0200,Pool H32,236.0,0.053,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:11:35\"",\""Epoch\"":1755709895,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.306,\""Yesterday\"":3.494,\""Today\"":3.270,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":13,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":236,\""Current\"":0.053}}"""
2025-08-20 19:06:35.000 +0200,Pool H32,232.0,0.051,2.0,home/H32/pool/solarpump/tasmota/tele/SENSOR,"""{\""Time\"":\""2025-08-20T19:06:35\"",\""Epoch\"":1755709595,\""ENERGY\"":{\""TotalStartTime\"":\""2025-08-05T13:51:51\"",\""Total\"":42.306,\""Yesterday\"":3.494,\""Today\"":3.270,\""Period\"": 0,\""Power\"": 2,\""ApparentPower\"":12,\""ReactivePower\"":12,\""Factor\"":0.17,\""Voltage\"":232,\""Current\"":0.051}}"""
