"time","poolid","name","status","addr","sensortype","type","ph","ec","salt","tds","orp","cl","temp","bat","blerssi","wifissid","wifirssi","wifiip","mqttserver","mqttconnected","mqtttopic","raw"
2026-06-14 17:31:19.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,509,279.95,254,593,0.4,22.9,2884,-71,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781451079,\""name\"":\""Pool H32\"",\""status\"":\""data read successfully\"",\""addr\"":\""c0:00:00:05:51:2a\"",\""sensorType\"":\""BLE-YC01\"",\""type\"":15,\""pH\"":7.6,\""ec\"":509,\""salt\"":279.95,\""tds\"":254,\""orp\"":593,\""cl\"":0.4,\""temp\"":22.9,\""bat\"":2884,\""bleRSSI\"":-71,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 17:14:45.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781450085,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-17,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 17:12:56.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781449976,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 17:01:18.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.6,506,278.3,253,607,0.5,22.9,2880,-74,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781449278,\""name\"":\""Pool H32\"",\""status\"":\""data read successfully\"",\""addr\"":\""c0:00:00:05:51:2a\"",\""sensorType\"":\""BLE-YC01\"",\""type\"":15,\""pH\"":7.6,\""ec\"":506,\""salt\"":278.3,\""tds\"":253,\""orp\"":607,\""cl\"":0.5,\""temp\"":22.9,\""bat\"":2880,\""bleRSSI\"":-74,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:59:10.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781449150,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:58:37.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-21,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781449117,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-21,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:54:56.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781448896,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-19,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:45:49.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781448349,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:45:15.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781448315,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:42:20.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-19,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781448140,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-19,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:33:10.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781447590,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-17,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:31:51.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-18,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781447511,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-18,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:27:38.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-24,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781447258,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-24,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:27:05.000 +0200,Pool H32,Pool H32,no matching device found,"",unknown,0,,,,,,,,,,pool,-17,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781447225,\""name\"":\""Pool H32\"",\""status\"":\""no matching device found\"",\""addr\"":\""\"",\""sensorType\"":\""unknown\"",\""type\"":0,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-17,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
2026-06-14 16:14:43.000 +0200,Pool H32,Pool H32,data read successfully,c0:00:00:05:51:2a,BLE-YC01,15,7.5,504,277.2,252,592,0.4,22.9,2881,-75,pool,-22,"10.32.1.62",mqtt.io10.org,false,home/H32/pool/ble-yc01,"""{\""time\"":1781446483,\""name\"":\""Pool H32\"",\""status\"":\""data read successfully\"",\""addr\"":\""c0:00:00:05:51:2a\"",\""sensorType\"":\""BLE-YC01\"",\""type\"":15,\""pH\"":7.5,\""ec\"":504,\""salt\"":277.2,\""tds\"":252,\""orp\"":592,\""cl\"":0.4,\""temp\"":22.9,\""bat\"":2881,\""bleRSSI\"":-75,\""wifiSSID\"":\""pool\"",\""wifiRSSI\"":-22,\""wifiIP\"":\""10.32.1.62\"",\""mqttServer\"":\""mqtt.io10.org\"",\""mqttConnected\"":false}"""
